filename,label
angry/im0.png,angry
disgusted/im0.png,disgusted
fearful/im0.png,fearful
happy/im0.png,happy
neutral/im0.png,neutral
sad/im0.png,sad
surprised/im0.png,surprised
angry/im1.png,angry
disgusted/im1.png,disgusted
fearful/im1.png,fearful
happy/im1.png,happy
neutral/im1.png,neutral
sad/im1.png,sad
surprised/im1.png,surprised
angry/im2.png,angry
disgusted/im2.png,disgusted
fearful/im2.png,fearful
happy/im2.png,happy
neutral/im2.png,neutral
sad/im2.png,sad
surprised/im2.png,surprised
angry/im3.png,angry
disgusted/im3.png,disgusted
fearful/im3.png,fearful
happy/im3.png,happy
neutral/im3.png,neutral
sad/im3.png,sad
surprised/im3.png,surprised
angry/im4.png,angry
disgusted/im4.png,disgusted
fearful/im4.png,fearful
happy/im4.png,happy
neutral/im4.png,neutral
sad/im4.png,sad
surprised/im4.png,surprised
angry/im5.png,angry
disgusted/im5.png,disgusted
fearful/im5.png,fearful
happy/im5.png,happy
neutral/im5.png,neutral
sad/im5.png,sad
surprised/im5.png,surprised
angry/im6.png,angry
disgusted/im6.png,disgusted
fearful/im6.png,fearful
happy/im6.png,happy
neutral/im6.png,neutral
sad/im6.png,sad
surprised/im6.png,surprised
angry/im7.png,angry
disgusted/im7.png,disgusted
fearful/im7.png,fearful
happy/im7.png,happy
neutral/im7.png,neutral
sad/im7.png,sad
surprised/im7.png,surprised
angry/im8.png,angry
disgusted/im8.png,disgusted
fearful/im8.png,fearful
happy/im8.png,happy
neutral/im8.png,neutral
sad/im8.png,sad
surprised/im8.png,surprised
angry/im9.png,angry
disgusted/im9.png,disgusted
fearful/im9.png,fearful
happy/im9.png,happy
neutral/im9.png,neutral
sad/im9.png,sad
surprised/im9.png,surprised
angry/im10.png,angry
disgusted/im10.png,disgusted
fearful/im10.png,fearful
happy/im10.png,happy
neutral/im10.png,neutral
sad/im10.png,sad
surprised/im10.png,surprised
angry/im11.png,angry
disgusted/im11.png,disgusted
fearful/im11.png,fearful
happy/im11.png,happy
neutral/im11.png,neutral
sad/im11.png,sad
surprised/im11.png,surprised
angry/im12.png,angry
disgusted/im12.png,disgusted
fearful/im12.png,fearful
happy/im12.png,happy
neutral/im12.png,neutral
sad/im12.png,sad
surprised/im12.png,surprised
angry/im13.png,angry
disgusted/im13.png,disgusted
fearful/im13.png,fearful
happy/im13.png,happy
neutral/im13.png,neutral
sad/im13.png,sad
surprised/im13.png,surprised
angry/im14.png,angry
disgusted/im14.png,disgusted
fearful/im14.png,fearful
happy/im14.png,happy
neutral/im14.png,neutral
sad/im14.png,sad
surprised/im14.png,surprised
angry/im15.png,angry
disgusted/im15.png,disgusted
fearful/im15.png,fearful
happy/im15.png,happy
neutral/im15.png,neutral
sad/im15.png,sad
surprised/im15.png,surprised
angry/im16.png,angry
disgusted/im16.png,disgusted
fearful/im16.png,fearful
happy/im16.png,happy
neutral/im16.png,neutral
sad/im16.png,sad
